article_batch_name,article_number,article_filename,article_sha256,article_text_length,tua_group_uuid,tua_group_name,tua_batch_uuid,tua_batch_name,tua_batch_final,source_task_uuid,tua_uuid,namespace,topic_name,case_number,answer_uuid,extra,highlight_count,start_pos,end_pos,target_text
CovidArticles/USMilitaryMayHaveBrought.txt,100055,USMilitaryMayHaveBrought.txt,3be14d67e2d88964904dcbe7df176bb81dacfc76a6f2e4ec66b45681c86c9301,3598,a6a66579-e4e2-44c6-93a9-cde5438e5a7e,Covid_Reasoningv1.IAA,a5176e69-1a32-481d-9d00-4e5e25edc72a,tua_csv/2020/06/Adj_Dep_S_IAA_Covid_Reasoningv1-Task-2201-DataHunt.csv.gz,True,a44ace1c-0e34-4994-9bcd-65a5d23e1be8,cb90d63e-a89b-4869-8002-648b523caad5,Covid_Reasoning,1237866c,0,1237866c-7089-42d1-a1e2-9f90b9d61148,"{""answer_text_list"": [""Misleading reasoning""]}",0,0,0,
CovidArticles/USMilitaryMayHaveBrought.txt,100055,USMilitaryMayHaveBrought.txt,3be14d67e2d88964904dcbe7df176bb81dacfc76a6f2e4ec66b45681c86c9301,3598,a6a66579-e4e2-44c6-93a9-cde5438e5a7e,Covid_Reasoningv1.IAA,a5176e69-1a32-481d-9d00-4e5e25edc72a,tua_csv/2020/06/Adj_Dep_S_IAA_Covid_Reasoningv1-Task-2201-DataHunt.csv.gz,True,a44ace1c-0e34-4994-9bcd-65a5d23e1be8,a8d232a2-31cc-4fb5-b0d6-4ae9527916ff,Covid_Reasoning,59994ba5,0,59994ba5-740d-46f2-855a-25e103a1e0d0,"{""answer_text_list"": [""Begging the Question""]}",0,0,0,
CovidArticles/USMilitaryMayHaveBrought.txt,100055,USMilitaryMayHaveBrought.txt,3be14d67e2d88964904dcbe7df176bb81dacfc76a6f2e4ec66b45681c86c9301,3598,a6a66579-e4e2-44c6-93a9-cde5438e5a7e,Covid_Reasoningv1.IAA,a5176e69-1a32-481d-9d00-4e5e25edc72a,tua_csv/2020/06/Adj_Dep_S_IAA_Covid_Reasoningv1-Task-2201-DataHunt.csv.gz,True,a44ace1c-0e34-4994-9bcd-65a5d23e1be8,6f2bdd12-5607-4c85-9ca0-41c1e27ae27e,Covid_Reasoning,7831ea7f,0,7831ea7f-613d-4603-9990-60698db3656d,"{""answer_text_list"": [""Appeal to Ignorance""]}",0,0,0,
CovidArticles/USMilitaryMayHaveBrought.txt,100055,USMilitaryMayHaveBrought.txt,3be14d67e2d88964904dcbe7df176bb81dacfc76a6f2e4ec66b45681c86c9301,3598,a6a66579-e4e2-44c6-93a9-cde5438e5a7e,Covid_Reasoningv1.IAA,a5176e69-1a32-481d-9d00-4e5e25edc72a,tua_csv/2020/06/Adj_Dep_S_IAA_Covid_Reasoningv1-Task-2201-DataHunt.csv.gz,True,a44ace1c-0e34-4994-9bcd-65a5d23e1be8,48287251-2f3b-45aa-aff1-fb9a42c9635f,Covid_Reasoning,d1ca4968,0,d1ca4968-9555-464f-b098-db4a2f52b7a8,"{""answer_text_list"": [""9""]}",0,0,0,
CovidArticles/USMilitaryMayHaveBrought.txt,100055,USMilitaryMayHaveBrought.txt,3be14d67e2d88964904dcbe7df176bb81dacfc76a6f2e4ec66b45681c86c9301,3598,a6a66579-e4e2-44c6-93a9-cde5438e5a7e,Covid_Reasoningv1.IAA,a5176e69-1a32-481d-9d00-4e5e25edc72a,tua_csv/2020/06/Adj_Dep_S_IAA_Covid_Reasoningv1-Task-2201-DataHunt.csv.gz,True,a44ace1c-0e34-4994-9bcd-65a5d23e1be8,e79914c2-5047-44d2-991a-f4b1eb18d310,Covid_Reasoning,dc1a36c6,0,dc1a36c6-945d-4bc0-8b41-a465b07f6a17,"{""answer_text_list"": [""Before therefore because (Post hoc ergo propter hoc)""]}",0,0,0,
CovidArticles/USMilitaryMayHaveBrought.txt,100055,USMilitaryMayHaveBrought.txt,3be14d67e2d88964904dcbe7df176bb81dacfc76a6f2e4ec66b45681c86c9301,3598,a6a66579-e4e2-44c6-93a9-cde5438e5a7e,Covid_Reasoningv1.IAA,a5176e69-1a32-481d-9d00-4e5e25edc72a,tua_csv/2020/06/Adj_Dep_S_IAA_Covid_Reasoningv1-Task-2201-DataHunt.csv.gz,True,a44ace1c-0e34-4994-9bcd-65a5d23e1be8,a76d0e4a-42e4-4029-b04f-bb91762fb63a,Covid_Reasoning,ecffcf14,0,ecffcf14-fdc8-4359-b91c-a41d68f2a8c4,"{""answer_text_list"": [""3""]}",0,0,0,
CovidArticles/CoronavirusCanHerdImmunityReally.txt,100056,CoronavirusCanHerdImmunityReally.txt,09a894f06d1157dd7a22a198c6ef78c2b9f4116266d2b0a177d7bb129a51f6e8,4555,a6a66579-e4e2-44c6-93a9-cde5438e5a7e,Covid_Reasoningv1.IAA,113fb4d5-18cf-4fde-9381-68b8d5af4a0b,tua_csv/2020/06/Adj_Dep_S_IAA_Covid_Reasoningv1-Task-2203-DataHunt.csv.gz,True,8330f5ea-da2d-4d5d-828d-dc3e06e001b8,b7cdd1b3-32da-4596-838b-f62183930e40,Covid_Reasoning,37373448,0,37373448-ee83-497d-bbaa-9db02975ea1b,"{""answer_text_list"": [""2""]}",0,0,0,
CovidArticles/CoronavirusCanHerdImmunityReally.txt,100056,CoronavirusCanHerdImmunityReally.txt,09a894f06d1157dd7a22a198c6ef78c2b9f4116266d2b0a177d7bb129a51f6e8,4555,a6a66579-e4e2-44c6-93a9-cde5438e5a7e,Covid_Reasoningv1.IAA,113fb4d5-18cf-4fde-9381-68b8d5af4a0b,tua_csv/2020/06/Adj_Dep_S_IAA_Covid_Reasoningv1-Task-2203-DataHunt.csv.gz,True,8330f5ea-da2d-4d5d-828d-dc3e06e001b8,eef037c0-bdbc-46e5-929d-acef767ebadc,Covid_Reasoning,57582307,0,57582307-7dbd-45d4-a725-48d3e14c27fb,"{""answer_text_list"": [""None of the above""]}",0,0,0,
CovidArticles/CoronavirusCanHerdImmunityReally.txt,100056,CoronavirusCanHerdImmunityReally.txt,09a894f06d1157dd7a22a198c6ef78c2b9f4116266d2b0a177d7bb129a51f6e8,4555,a6a66579-e4e2-44c6-93a9-cde5438e5a7e,Covid_Reasoningv1.IAA,113fb4d5-18cf-4fde-9381-68b8d5af4a0b,tua_csv/2020/06/Adj_Dep_S_IAA_Covid_Reasoningv1-Task-2203-DataHunt.csv.gz,True,8330f5ea-da2d-4d5d-828d-dc3e06e001b8,54b7e050-5959-48d4-9e54-b09f9d3f3575,Covid_Reasoning,69646cca,0,69646cca-7754-4054-bae7-e32fcc20b138,"{""answer_text_list"": [""5: 50-50 that I had it on any given item""]}",0,0,0,
CovidArticles/CoronavirusCanHerdImmunityReally.txt,100056,CoronavirusCanHerdImmunityReally.txt,09a894f06d1157dd7a22a198c6ef78c2b9f4116266d2b0a177d7bb129a51f6e8,4555,a6a66579-e4e2-44c6-93a9-cde5438e5a7e,Covid_Reasoningv1.IAA,d286e247-1fe5-4518-9fdc-bb57435d4258,tua_csv/2020/06/Adj_Dep_S_IAA_Covid_Reasoningv1-Task-2204-DataHunt.csv.gz,True,34152c10-bbf9-445e-a800-d5d1075f067f,179aae7d-b539-4303-98ab-b7b8aa0d8a5b,Covid_Reasoning,199c3384,0,199c3384-db59-496d-a5a8-7f70bf8157d3,"{""answer_text_list"": [""No appeals to biases""]}",0,0,0,
